Month,Price,DCA_Units_Total,DCA_Value_USD,Smash_Units,Smash_Value_USD,Combined_Units,Combined_Value_USD
134,1141169.036934603,0.31045395861194625,354280.4449617298,1.0587948796679618,1208263.9331419768,1.369248838279908,1562544.3781037065
135,1162587.9411372824,0.31097004860287897,361530.0285605817,1.0587948796679618,1230942.1592398724,1.3697649282708408,1592472.1878004542
136,1184408.8624315541,0.31147663042528123,368915.68151602097,1.0587948796679618,1254046.038975885,1.370271510093243,1622961.7204919057
137,1206639.3463827935,0.311973879252612,376439.9577498763,1.0587948796679618,1277583.561555998,1.370768758920574,1654023.5193058744
138,1229287.080181093,0.31246196703102713,384105.4591192123,1.0587948796679618,1301562.8661377204,1.371256846698989,1685668.3252569328
139,1252359.895299454,0.31294106253883763,391914.83631603856,1.0587948796679618,1325992.2446445667,1.3717359422067994,1717907.080960605
140,1275865.7702018712,0.3134113314448724,399870.789783906,1.0587948796679618,1350880.1446333616,1.3722062111128341,1750750.9344172676
141,1299812.8331022447,0.31387293636576546,407976.07065170613,1.0587948796679618,1376235.1722153637,1.3726678160337273,1784211.2428670698
142,1324209.3647750767,0.31432603692218836,416233.4816849984,1.0587948796679618,1402066.0950322156,1.3731209165901501,1818299.5767172137
143,1349063.8014189214,0.3147707897940458,424645.8782551917,1.0587948796679618,1428381.84528775,1.3735656694620078,1853027.723542942
144,1374384.7375735801,0.31520734877465506,433216.16932691826,1.0587948796679618,1455191.522836702,1.3740022284426168,1888407.6921636201
